pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,FID_x,FID_y,Alert_level,Days_until_peak,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_Score,PeakArrivalScore,TwoYScore,FiveYScore,TwtyYScore,Sum_Score_x,GFMS_TotalArea_km,GFMS_perc_Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration,GFMS_area_score,GFMS_perc_area_score,MeanD_Score,MaxD_Score,Duration_Score,Sum_Score_y,MOM_Score,Hazard_Score,Rain_TotalArea_km,perc_Area,MeanRain,MaxRain,HWRF_area_score,HWRF_percarea_score,MeanRain_Score,MaxRain_Score,HWRFTot_Score,Flag,Scaled_Riverine_Risk,Scaled_Coastal_Risk,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area,DFO_area_1day_score,DFO_percarea_1day_score,DFO_area_2day_score,DFO_percarea_2day_score,DFO_area_3day_score,DFO_percarea_3day_score,DFOTotal_Score,onedayFlood_Area_km,onedayperc_Area,fivedayFlood_Area_km,fivedayperc_Area,VIIRS_area_1day_score,VIIRS_percarea_1day_score,VIIRS_area_5day_score,VIIRS_percarea_5day_score,VIIRSTotal_Score,Totalpop,VIIRS_impactpop,VIIRS_impactpop_percent,Severity,Alert
111011,0.0,1894.935871,EGY,Egypt,As Suways,4.180674079,0.0,0.55,0.63,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.28316626012103,,,,,,,,,,,83.61348158,0.0,8.312,0.439,4.438,0.234,0.625,0.033,0.562,0.03,0.0443799999999999,0.234,0.009375,0.0495,0.01405,0.075,0.426305,10.828125,0.5714243507173256,19.40625,1.0241111740128692,0.162421875,0.8571365260759883,0.67921875,3.584389109045042,5.28316626012103,326082,,,0.1288312259435221,Information
111013,2.0,895.121761,EGY,Egypt,As Suways,4.008111796,0.0,0.55,0.63,2.0,,,,,,,,,,,,,,,,,,,,,,,,,23.73189303912664,,,,,,,,,,,80.16223592,0.0,18.688,2.088,15.312,1.711,6.062,0.677,3.438,0.384,0.15312,1.711,0.09093,1.0155,0.08595,0.96,4.016500000000001,22.359375,2.497914359066812,46.125,5.152930250150405,0.335390625,3.746871538600218,1.614375,18.035255875526417,23.73189303912664,8152,,,0.5711224049973563,Advisory
111015,4.0,16672.32333,EGY,Egypt,Al Bahr al Ahmar,4.159506062,1.332958752,0.55,0.63,4.0,,,,,,,,,,,,,,,,,,,,,,,,,33.43637028980551,,,,,,,,,,3.0,83.19012124,26.65917504,137.812,0.827,104.0,0.624,36.125,0.217,13.438,0.081,1.04,0.624,0.541875,0.3255,0.3359499999999999,0.2025,3.069825,119.25,0.7152572417665312,546.046875,3.2751696577587746,1.78875,1.0728858626497968,19.111640625,11.463093802155711,33.43637028980551,292552,50334.0,17.21,0.7541720550624735,Watch
111017,6.0,8665.540548,EGY,Egypt,Al Bahr al Ahmar,4.007958344,0.0,0.55,0.63,6.0,,,,,,,,,,,,,,,,,,,,,,,,,7.2924547661572925,,,,,,,,,,,80.15916688000001,0.0,50.75,0.586,44.0,0.508,12.25,0.141,5.438,0.063,0.44,0.508,0.18375,0.2114999999999999,0.13595,0.1575,1.6367,18.984375,0.2190789471676986,88.59375,1.022368420115927,0.284765625,0.3286184207515479,3.10078125,3.578289470405745,7.2924547661572925,50483,,,0.1584371254844318,Information
111019,8.0,6579.747718,EGY,Egypt,Al Bahr al Ahmar,4.101170927,0.0,0.55,0.63,8.0,,,,,,,,,,,,,,,,,,,,,,,,,8.681550495616985,,,,,,,,,,,82.02341854,0.0,59.0,0.897,45.062,0.685,12.5,0.19,7.5,0.114,0.4506199999999999,0.685,0.1875,0.285,0.1875,0.285,2.08062,16.734375,0.2543315597871107,91.265625,1.3870687588389483,0.251015625,0.381497339680666,3.194296875,4.854740655936319,8.681550495616985,1847,,,0.2333466642800932,Information
158650,2805.0,28654.40401,EGY,Egypt,Matrouh,0.010599425,0.0,0.55,0.63,2805.0,,,,,,,,,,,,,,,,,,,,,,,,,4.626812896180281,,,,,,,,,,,0.2119885,0.0,28.438,0.099,25.75,0.09,12.062,0.042,5.312,0.019,0.2575,0.09,0.18093,0.063,0.1328,0.0475,0.7717300000000001,23.90625,0.0834295837846035,87.75,0.3062356487152504,0.35859375,0.1251443756769052,3.07125,1.0718247705033763,4.626812896180281,28546,,,0.0010660736511815,Information
158670,2807.0,14356.97351,EGY,Egypt,Matrouh,1.202441142,0.0,0.55,0.63,2807.0,,,,,,,,,,,,,,,,,,,,,,,,,3.3841710063811625,,,,,,,,,,,24.04882284,0.0,161.938,1.128,56.062,0.39,1.375,0.01,0.0,0.0,0.56062,0.39,0.020625,0.015,0.0,0.0,0.986245,14.203125,0.0989284057240024,50.90625,0.354575077941474,0.213046875,0.1483926085860036,1.78171875,1.241012772795159,3.3841710063811625,0,,,0.0009323323034652,Information
158680,2808.0,17999.95227,EGY,Egypt,Matrouh,0.220953716,0.0,0.55,0.63,2808.0,,,,,,,,,,,,,,,,,,,,,,,,,0.661719376662447,,,,,,,,,,,4.41907432,0.0,51.125,0.284,14.875,0.083,0.062,0.0,0.0,0.0,0.14875,0.083,0.0009299999999999,0.0,0.0,0.0,0.23268,2.109375,0.0117187810741709,11.25,0.0625001657289116,0.031640625,0.0175781716112563,0.39375,0.2187505800511905,0.661719376662447,3238,,,3.298155822367454e-07,Information
171000,3130.0,16410.89801,EGY,Egypt,Al Buhayrah,4.000368882,3.233220159,0.55,0.63,3130.0,,,,,,,,,,,,,,,,,,,,,,,,,15.627051378696237,,,,,,,,,,,80.00737764,64.66440318,51.688,0.315,42.0,0.256,46.938,0.286,31.625,0.193,0.42,0.256,0.7040700000000001,0.4289999999999999,0.790625,0.4825,3.082195,6.1875,0.0377036040061744,274.78125,1.6743827779105638,0.0928125,0.0565554060092616,9.61734375,5.860339722686973,15.627051378696237,10195868,,,0.4027018424725922,Advisory
172110,3131.0,9518.321586,EGY,Egypt,Al Fayyum,4.221059261,0.0,0.55,0.63,3131.0,,,,,,,,,,,,,,,,,,,,,,,,,6.548800569834489,,,,,,,,,,,84.42118522,0.0,19.062,0.2,18.688,0.196,3.812,0.04,1.625,0.017,0.18688,0.196,0.05718,0.06,0.040625,0.0425,0.583185,29.8125,0.3132117330712952,78.46875,0.8243969200650131,0.4471875,0.4698175996069428,2.74640625,2.885389220227546,6.548800569834489,3437058,,,0.1930723714363232,Information
