pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,FID_x,FID_y,Alert_level,Days_until_peak,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_Score,PeakArrivalScore,TwoYScore,FiveYScore,TwtyYScore,Sum_Score_x,GFMS_TotalArea_km,GFMS_perc_Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration,GFMS_area_score,GFMS_perc_area_score,MeanD_Score,MaxD_Score,Duration_Score,Sum_Score_y,MOM_Score,Hazard_Score,Scaled_Riverine_Risk,Scaled_Coastal_Risk,Flag,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area,DFO_area_1day_score,DFO_percarea_1day_score,DFO_area_2day_score,DFO_percarea_2day_score,DFO_area_3day_score,DFO_percarea_3day_score,DFOTotal_Score,onedayFlood_Area_km,onedayperc_Area,fivedayFlood_Area_km,fivedayperc_Area,VIIRS_area_1day_score,VIIRS_percarea_1day_score,VIIRS_area_5day_score,VIIRS_percarea_5day_score,VIIRSTotal_Score,Totalpop,VIIRS_impactpop,VIIRS_impactpop_percent,Severity,Alert
158650,2805.0,28654.40401,EGY,Egypt,Matrouh,0.010599425,0.0,0.55,0.63,2805.0,,,,,,,,,,,,,,,,,,,,,,,,,1.881836159496039,0.2119885,0.0,,3.125,0.011,3.125,0.011,1.75,0.006,1.188,0.004,0.03125,0.011,0.02625,0.009,0.0296999999999999,0.01,0.1171999999999999,17.859375,0.0623268067096743,32.203125,0.1123845569804364,0.267890625,0.0934902100645114,1.127109375,0.3933459494315274,1.881836159496039,28546,,,3.581583656959028e-05,Information
171000,3130.0,16410.89801,EGY,Egypt,Al Buhayrah,4.000368882,3.233220159,0.55,0.63,3130.0,,,,,,,,,,,,,,,,,,,,,,,,,16.270917579599796,80.00737764,64.66440318,,111.375,0.679,90.312,0.55,57.75,0.352,41.5,0.253,0.90312,0.55,0.86625,0.528,1.0375,0.6325000000000001,4.5173700000000006,111.9375,0.6820924724753371,240.890625,1.4678698559676535,1.6790625,1.0231387087130055,8.431171875,5.137544495886788,16.270917579599796,10195868,,,0.4184017020607072,Advisory
172111,3132.0,25391.76841,EGY,Egypt,Bani Suwayf,3.367829483,0.004255481,0.55,0.63,3132.0,,,,,,,,,,,,,,,,,,,,,,,,,15.466921947537111,67.35658966,0.08510962,,76.812,0.303,59.062,0.233,2.875,0.011,0.5,0.002,0.5906199999999999,0.233,0.043125,0.0165,0.0125,0.005,0.9007449999999998,38.25,0.1506393701343422,300.65625,1.1840697549530284,0.57375,0.2259590552015133,10.52296875,4.144244142335599,15.466921947537111,28310172,,,0.2275500911761674,Information
172113,3134.0,18622.80589,EGY,Egypt,Asyut,3.470353853,0.0,0.55,0.63,3134.0,3134.0,1.0,11.0,100.0,-9999.0,-9999.0,3.0,1.0,10.0,-999.9,-999.9,-2957.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2957.7,13.30216713593019,69.40707706,0.0,,,,,,,,,,,,,,,,,44.4375,0.2386187143478658,228.234375,1.225563839830969,0.6665625,0.3579280715217987,7.988203125,4.289473439408392,13.30216713593019,9423649,,,0.2024669949990824,Information
173000,3493.0,20982.76472,EGY,Egypt,Ash Sharqiyah,4.035599734,0.044428853,0.55,0.63,3493.0,,,,,,,,,,,,,,,,,,,,,,,,,72.38205467470266,80.71199468,0.8885770599999999,3.0,1551.125,7.392,1133.438,5.402,75.938,0.362,13.938,0.066,10.0,5.402,1.13907,0.5429999999999999,0.34845,0.165,17.59752,590.0625,2.812129421445153,1457.578125,6.946549440724264,8.8509375,4.21819413216773,35.0,24.312923042534926,72.38205467470266,31237808,905108.0,2.9,0.906994983649997,Warning
211012,3575.0,6278.319166,EGY,Egypt,Al Isma`iliyah,4.027328926,0.0,0.55,0.63,3575.0,,,,,,,,,,,,,,,,,,,,,,,,,33.128474464831925,80.54657852,0.0,3.0,71.438,1.138,48.688,0.775,2.0,0.032,0.188,0.003,0.48688,0.775,0.03,0.048,0.0046999999999999,0.0075,1.3520800000000002,45.28125,0.7212320496011315,345.65625,5.505553968694351,0.67921875,1.0818480744016972,12.09796875,19.26943889043023,33.128474464831925,1336033,433473.0,32.44,0.7027651905349168,Watch
211013,3576.0,7778.241552,EGY,Egypt,Shamal Sina'',4.053340871,0.0,0.55,0.63,3576.0,,,,,,,,,,,,,,,,,,,,,,,,,26.65357032565771,81.06681741999999,0.0,3.0,55.188,0.71,41.75,0.537,3.5,0.045,0.438,0.006,0.4175,0.537,0.0525,0.0675,0.01095,0.015,1.10045,53.578125,0.6888205340308216,310.21875,3.988288971317565,0.803671875,1.0332308010462323,10.85765625,13.959011399611477,26.65357032565771,254526,26080.0,10.25,0.6338272020838306,Watch
295105,5421.0,12364.99549,EGY,Egypt,Ash Sharqiyah,3.467266255,0.799726958,0.55,0.63,5421.0,,,,,,,,,,,,,,,,,,,,,,,,,52.87369364614047,69.3453251,15.99453916,3.0,11.312,0.091,11.188,0.09,1.375,0.011,1.938,0.016,0.11188,0.09,0.020625,0.0165,0.04845,0.04,0.327455,455.203125,3.681385290351496,640.125,5.176912524460922,6.828046875,5.522077935527243,22.404375,18.119193835613228,52.87369364614047,3236961,332610.0,10.28,0.7071647653856459,Watch
295107,5423.0,18003.4226,EGY,Egypt,Ash Sharqiyah,0.865835589,1.065961788,0.55,0.63,5423.0,,,,,,,,,,,,,,,,,,,,,,,,,25.72653440846828,17.31671178,21.31923576,,10.188,0.057,9.938,0.055,1.062,0.006,0.75,0.004,0.09938,0.055,0.01593,0.009,0.01875,0.01,0.20806,254.109375,1.4114503707415875,363.65625,2.0199284221016853,3.811640625,2.117175556112381,12.72796875,7.069749477355899,25.72653440846828,6449082,,,0.1318100252294488,Information
172139,3159.0,19327.56952,SDN,Sudan,Northern,4.162059566,0.0,0.28,1.0,3159.0,3159.0,0.0,12.0,-9999.0,-9999.0,-9999.0,0.0,1.0,-999.9,-999.9,-999.9,-5997.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5997.4,11.196245908044522,83.24119132,0.0,,,,,,,,,,,,,,,,,98.15625,0.5078561475729133,168.75,0.873105124767186,1.47234375,0.76178422135937,5.90625,3.055867936685152,11.196245908044522,400001,,,0.343347045734906,Information
172193,3192.0,35821.36512,SDN,Sudan,River Nile,4.098831315,0.0,0.28,1.0,3192.0,3192.0,0.0,12.0,-9999.0,-9999.0,-9999.0,0.0,1.0,-999.9,-999.9,-999.9,-5997.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5997.4,26.16388022327187,81.97662629999999,0.0,3.0,,,,,,,,,,,,,,,,314.578125,0.8781857530566641,449.578125,1.2550558124819648,4.718671875,1.317278629584996,15.735234375,4.392695343686877,26.16388022327187,210468,14539.0,6.91,0.645317997826407,Watch
172250,3211.0,20434.64385,SDN,Sudan,Kassala,2.064343345,0.0,0.28,1.0,3211.0,3211.0,0.0,1.0,-9999.0,-9999.0,-9999.0,0.0,10.0,-999.9,-999.9,-999.9,-5979.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5979.4,6.391121307219734,41.28686690000001,0.0,,,,,,,,,,,,,,,,,34.734375,0.1699778829291412,107.71875,0.5271378879502921,0.521015625,0.2549668243937118,3.77015625,1.8449826078260223,6.391121307219734,683240,,,0.0132858151953105,Information
172263,3214.0,1759.036067,SDN,Sudan,Al Qadarif,0.764434133,0.0,0.28,1.0,3214.0,3214.0,0.0,1.0,-9999.0,-9999.0,-9999.0,0.0,10.0,-999.9,-999.9,-999.9,-5979.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5979.4,0.4935359774668676,15.28868266,0.0,,,,,,,,,,,,,,,,,0.0,0.0,2.109375,0.1199165292762479,0.0,0.0,0.073828125,0.4197078524668676,0.4935359774668676,44353,,,1.3346948146157034e-07,Information
172301,3232.0,1899.037309,SDN,Sudan,River Nile,4.049781722,0.0,0.28,1.0,3232.0,3232.0,0.0,10.0,-9999.0,-9999.0,-9999.0,0.0,1.0,-999.9,-999.9,-999.9,-5997.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5997.4,5.207488810295519,80.99563443999999,0.0,,,,,,,,,,,,,,,,,13.078125,0.6886713039043711,18.140625,0.955253744125418,0.196171875,1.0330069558565569,0.634921875,3.343388104438963,5.207488810295519,118271,,,0.0977341354536533,Information
172309,3240.0,14004.67756,SDN,Sudan,River Nile,2.390746186,0.0,0.28,1.0,3240.0,3240.0,0.0,11.0,-9999.0,-9999.0,-9999.0,0.0,1.0,-999.9,-999.9,-999.9,-5997.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5997.4,14.937117392625977,47.81492372,0.0,,,,,,,,,,,,,,,,,119.953125,0.8565218621365109,197.578125,1.4108009569774889,1.799296875,1.2847827932047664,6.915234375,4.937803349421211,14.937117392625977,2195581,,,0.1054768446762562,Information
172410,3241.0,23146.57085,SDN,Sudan,Al Jazirah,4.005884561,0.0,0.28,1.0,3241.0,3241.0,0.0,7.0,-9999.0,-9999.0,-9999.0,0.0,4.0,-999.9,-999.9,-999.9,-5991.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5991.4,3.92890701658202,80.11769122000001,0.0,,,,,,,,,,,,,,,,,13.921875,0.0601465983555202,72.421875,0.3128838197282113,0.208828125,0.0902198975332803,2.534765625,1.0950933690487394,3.92890701658202,3326861,,,0.0524585405852257,Information
172427,3248.0,3114.950871,SDN,Sudan,Al Qadarif,4.06748121,0.0,0.28,1.0,3248.0,3248.0,0.0,1.0,-9999.0,-9999.0,-9999.0,0.0,10.0,-999.9,-999.9,-999.9,-5979.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5979.4,2.4038315766504983,81.34962420000001,0.0,,,,,,,,,,,,,,,,,5.90625,0.1896097320672929,13.78125,0.4424227081570168,0.08859375,0.2844145981009393,0.48234375,1.5484794785495588,2.4038315766504983,200437,,,0.0202407233658217,Information
172441,3252.0,3926.427355,SDN,Sudan,Sennar,2.958845936,0.0,0.28,1.0,3252.0,3252.0,0.0,1.0,-9999.0,-9999.0,-9999.0,0.0,10.0,-999.9,-999.9,-999.9,-5979.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5979.4,2.269426299721281,59.17691872,0.0,,,,,,,,,,,,,,,,,2.953125,0.0752115022948283,17.015625,0.4333615132225823,0.044296875,0.1128172534422424,0.595546875,1.516765296279038,2.269426299721281,243373,,,0.0019279219907977,Information
172451,3261.0,7299.010994,SDN,Sudan,Sennar,3.151492233,0.0,0.28,1.0,3261.0,3261.0,0.0,6.0,-9999.0,-9999.0,-9999.0,0.0,5.0,-999.9,-999.9,-999.9,-5985.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5985.4,3.6711682932176704,63.02984466,0.0,,,,,,,,,,,,,,,,,0.5625,0.007706523534154,44.015625,0.603035466547554,0.0084375,0.011559785301231,1.540546875,2.1106241329164392,3.6711682932176704,889250,,,0.0104551263423951,Information
172453,3263.0,12002.02809,SDN,Sudan,Blue Nile,4.016917046,0.0,0.28,1.0,3263.0,3263.0,0.0,1.0,-9999.0,-9999.0,-9999.0,0.0,10.0,-999.9,-999.9,-999.9,-5979.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5979.4,1.2232263509629735,80.33834092,0.0,,,,,,,,,,,,,,,,,1.828125,0.0152318007113143,18.28125,0.1523180071131435,0.027421875,0.0228477010669714,0.63984375,0.5331130248960022,1.2232263509629735,954998,,,0.0027416521380313,Information
172510,3290.0,17792.98766,SDN,Sudan,White Nile,4.039528309,0.0,0.28,1.0,3290.0,3290.0,0.0,24.0,-9999.0,-9999.0,-9999.0,0.0,1.0,-999.9,-999.9,-999.9,-5997.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5997.4,5.890154598173034,80.79056617999998,0.0,,,,,,,,,,,,,,,,,45.984375,0.2584409986864001,88.03125,0.4947524928981238,0.689765625,0.3876614980296001,3.08109375,1.7316337251434333,5.890154598173034,5051085,,,0.1185791919766494,Information
