pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,FID_x,FID_y,Alert_level,Days_until_peak,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_Score,PeakArrivalScore,TwoYScore,FiveYScore,TwtyYScore,Sum_Score_x,GFMS_TotalArea_km,GFMS_perc_Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration,GFMS_area_score,GFMS_perc_area_score,MeanD_Score,MaxD_Score,Duration_Score,Sum_Score_y,MOM_Score,Hazard_Score,Scaled_Riverine_Risk,Scaled_Coastal_Risk,Flag,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area,DFO_area_1day_score,DFO_percarea_1day_score,DFO_area_2day_score,DFO_percarea_2day_score,DFO_area_3day_score,DFO_percarea_3day_score,DFOTotal_Score,onedayFlood_Area_km,onedayperc_Area,fivedayFlood_Area_km,fivedayperc_Area,VIIRS_area_1day_score,VIIRS_percarea_1day_score,VIIRS_area_5day_score,VIIRS_percarea_5day_score,VIIRSTotal_Score,Totalpop,VIIRS_impactpop,VIIRS_impactpop_percent,Severity,Alert
111011,0.0,1894.935871,EGY,Egypt,As Suways,4.180674079,0.0,0.55,0.63,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6488098915938104,83.61348158,0.0,,4.812,0.254,3.125,0.165,0.25,0.013,0.0,0.0,0.03125,0.165,0.00375,0.0195,0.0,0.0,0.2195,0.0,0.0,2.953125,0.1558430047410887,0.0,0.0,0.103359375,0.5454505165938104,0.6488098915938104,326082,,,0.0006209577323815,Information
111013,2.0,895.121761,EGY,Egypt,As Suways,4.008111796,0.0,0.55,0.63,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.156666803411436,80.16223592,0.0,,1.5,0.168,1.312,0.147,0.062,0.007,0.0,0.0,0.01312,0.147,0.0009299999999999,0.0105,0.0,0.0,0.1715499999999999,0.0,0.0,5.0625,0.5655655152604102,0.0,0.0,0.1771875,1.979479303411436,2.156666803411436,8152,,,0.0132425624084058,Information
111015,4.0,16672.32333,EGY,Egypt,Al Bahr al Ahmar,4.159506062,1.332958752,0.55,0.63,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.9999887615874,83.19012124,26.65917504,,18.375,0.11,16.188,0.097,2.938,0.018,1.062,0.006,0.16188,0.097,0.04407,0.0269999999999999,0.02655,0.015,0.3715,0.0,0.0,89.296875,0.5355994675964001,0.0,0.0,3.125390625,1.8745981365874005,4.9999887615874,292552,,,0.112654578284516,Information
111017,6.0,8665.540548,EGY,Egypt,Al Bahr al Ahmar,4.007958344,0.0,0.55,0.63,6.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8481359644959674,80.15916688000001,0.0,,3.5,0.04,3.375,0.039,0.75,0.009,0.438,0.005,0.03375,0.039,0.01125,0.0134999999999999,0.01095,0.0125,0.12095,0.0,0.0,11.25,0.1298245612845621,0.0,0.0,0.39375,0.4543859644959673,0.8481359644959674,50483,,,0.0008095149525728,Information
111019,8.0,6579.747718,EGY,Egypt,Al Bahr al Ahmar,4.101170927,0.0,0.55,0.63,8.0,,,,,,,,,,,,,,,,,,,,,,,,,1.103797134442731,82.02341854,0.0,,8.188,0.124,7.875,0.12,1.438,0.022,0.625,0.009,0.07875,0.12,0.02157,0.033,0.015625,0.0225,0.291445,0.0,0.0,12.515625,0.1902143598407803,0.0,0.0,0.438046875,0.665750259442731,1.103797134442731,1847,,,0.0026328496971485,Information
171000,3130.0,16410.89801,EGY,Egypt,Al Buhayrah,4.000368882,3.233220159,0.55,0.63,3130.0,,,,,,,,,,,,,,,,,,,,,,,,,10.907251863812672,80.00737764,64.66440318,,84.938,0.518,82.875,0.505,52.312,0.319,38.562,0.235,0.82875,0.505,0.7846799999999999,0.4785,0.96405,0.5874999999999999,4.148479999999999,0.0,0.0,193.640625,1.1799514253750494,0.0,0.0,6.777421875,4.129829988812673,10.907251863812672,10195868,,,0.2722788100299467,Information
172110,3131.0,9518.321586,EGY,Egypt,Al Fayyum,4.221059261,0.0,0.55,0.63,3131.0,,,,,,,,,,,,,,,,,,,,,,,,,1.7864297459323937,84.42118522,0.0,,3.938,0.041,3.188,0.033,0.938,0.01,0.312,0.003,0.03188,0.033,0.01407,0.015,0.0078,0.0075,0.1092499999999999,0.0,0.0,24.890625,0.2615022488378267,0.0,0.0,0.871171875,0.9152578709323934,1.7864297459323937,3437058,,,0.0151673312962892,Information
172111,3132.0,25391.76841,EGY,Egypt,Bani Suwayf,3.367829483,0.004255481,0.55,0.63,3132.0,,,,,,,,,,,,,,,,,,,,,,,,,3.011649419894914,67.35658966,0.08510962,,32.375,0.128,31.938,0.126,0.812,0.003,0.062,0.0,0.31938,0.126,0.01218,0.0045,0.00155,0.0,0.46361,0.0,0.0,61.734375,0.2431275128271185,0.0,0.0,2.160703125,0.8509462948949148,3.011649419894914,28310172,,,0.0085824803341032,Information
172113,3134.0,18622.80589,EGY,Egypt,Asyut,3.470353853,0.0,0.55,0.63,3134.0,3134.0,1.0,9.0,100.0,-9999.0,-9999.0,3.0,2.0,10.0,-999.9,-999.9,-2954.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2954.7,5.000335310581606,69.40707706,0.0,,10.125,0.054,9.812,0.053,0.0,0.0,0.5,0.003,0.09812,0.053,0.0,0.0,0.0125,0.0075,0.17112,0.0,0.0,92.953125,0.4991359815947446,0.0,0.0,3.253359375,1.746975935581606,5.000335310581606,9423649,,,0.0350500183638189,Information
172115,3136.0,12900.15886,EGY,Egypt,Suhaj,3.693633873,0.0,0.55,0.63,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,2.463900267703864,73.87267746,0.0,,27.312,0.212,26.688,0.207,3.312,0.026,1.25,0.01,0.26688,0.207,0.04968,0.039,0.03125,0.025,0.6188100000000001,0.0,0.0,39.65625,0.3074090050582467,0.0,0.0,1.38796875,1.0759315177038635,2.463900267703864,3262549,,,0.0091070667079141,Information
172117,3138.0,37158.6911,EGY,Egypt,Aswan,4.012574421,0.0,0.55,0.63,3138.0,,,,,,,,,,,,,,,,,,,,,,,,,3.260636739741778,80.25148842,0.0,,55.188,0.149,55.125,0.148,12.438,0.033,5.438,0.015,0.55125,0.148,0.18657,0.0495,0.13595,0.0375,1.10877,0.0,0.0,73.40625,0.1975479970690793,0.0,0.0,2.56921875,0.6914179897417776,3.260636739741778,5190727,,,0.0358391767711513,Information
172119,3140.0,19719.32651,EGY,Egypt,Aswan,4.230900174,0.0,0.55,0.63,3140.0,,,,,,,,,,,,,,,,,,,,,,,,,11.41605585363327,84.61800348,0.0,,33.938,0.172,31.875,0.162,10.25,0.052,2.0,0.01,0.31875,0.162,0.15375,0.078,0.05,0.025,0.7875000000000001,0.0,0.0,216.421875,1.09751149389522,0.0,0.0,7.574765625,3.84129022863327,11.41605585363327,560460,,,0.3827840392260965,Advisory
172131,3151.0,23966.5212,EGY,Egypt,Aswan,1.249617217,0.0,0.55,0.63,3151.0,,,,,,,,,,,,,,,,,,,,,,,,,21.052122327966963,24.99234434,0.0,,7.812,0.033,5.625,0.023,2.625,0.011,0.625,0.003,0.05625,0.023,0.039375,0.0165,0.015625,0.0075,0.15825,0.0,0.0,424.40625,1.7708295937048462,0.0,0.0,14.85421875,6.197903577966962,21.052122327966963,8734,,,0.1019374857487474,Information
173000,3493.0,20982.76472,EGY,Egypt,Ash Sharqiyah,4.035599734,0.044428853,0.55,0.63,3493.0,,,,,,,,,,,,,,,,,,,,,,,,,58.6631710229708,80.71199468,0.8885770599999999,3.0,331.5,1.58,323.688,1.543,78.75,0.375,34.25,0.163,3.23688,1.543,1.18125,0.5625,0.85625,0.4075,7.787379999999999,0.0,0.0,1418.625,6.760906006563086,0.0,0.0,35.0,23.6631710229708,58.6631710229708,31237808,289518.0,0.9268191929472132,0.8670015764824228,Warning
211012,3575.0,6278.319166,EGY,Egypt,Al Isma`iliyah,4.027328926,0.0,0.55,0.63,3575.0,,,,,,,,,,,,,,,,,,,,,,,,,12.263661001811816,80.54657852,0.0,,21.5,0.342,20.312,0.324,1.5,0.024,0.688,0.011,0.20312,0.324,0.0225,0.036,0.0171999999999999,0.0274999999999999,0.63032,0.0,0.0,135.140625,2.152496893374805,0.0,0.0,4.729921875,7.533739126811818,12.263661001811816,1336033,,,0.322262114257358,Information
211013,3576.0,7778.241552,EGY,Egypt,Shamal Sina'',4.053340871,0.0,0.55,0.63,3576.0,,,,,,,,,,,,,,,,,,,,,,,,,12.948315713827204,81.06681741999999,0.0,,26.75,0.344,26.562,0.341,2.875,0.037,3.812,0.049,0.26562,0.341,0.043125,0.0554999999999999,0.0953,0.1225,0.923045,0.0,0.0,161.859375,2.080925025379201,0.0,0.0,5.665078125,7.283237588827204,12.948315713827204,254526,,,0.3519911334149732,Advisory
