pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,FID_x,FID_y,Alert_level,Days_until_peak,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_Score,PeakArrivalScore,TwoYScore,FiveYScore,TwtyYScore,Sum_Score_x,GFMS_TotalArea_km,GFMS_perc_Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration,GFMS_area_score,GFMS_perc_area_score,MeanD_Score,MaxD_Score,Duration_Score,Sum_Score_y,MOM_Score,Hazard_Score,Rain_TotalArea_km,perc_Area,MeanRain,MaxRain,HWRF_area_score,HWRF_percarea_score,MeanRain_Score,MaxRain_Score,HWRFTot_Score,Flag,Scaled_Riverine_Risk,Scaled_Coastal_Risk,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area,DFO_area_1day_score,DFO_percarea_1day_score,DFO_area_2day_score,DFO_percarea_2day_score,DFO_area_3day_score,DFO_percarea_3day_score,DFOTotal_Score,onedayFlood_Area_km,onedayperc_Area,fivedayFlood_Area_km,fivedayperc_Area,VIIRS_area_1day_score,VIIRS_percarea_1day_score,VIIRS_area_5day_score,VIIRS_percarea_5day_score,VIIRSTotal_Score,Totalpop,VIIRS_impactpop,VIIRS_impactpop_percent,Severity,Alert
171000,3130.0,16410.89801,EGY,Egypt,Al Buhayrah,4.000368882,3.233220159,0.55,0.63,3130.0,,,,,,,,,,,,,,,,,,,,,,,,,17.42625570108052,,,,,,,,,,,80.00737764,64.66440318,0.125,0.001,0.062,0.0,12.375,0.075,0.0,0.0,0.00062,0.0,0.185625,0.1124999999999999,0.0,0.0,0.298745,64.96875,0.3958878420648314,281.53125,1.7155139822809358,0.97453125,0.5938317630972472,9.85359375,6.004298937983275,17.42625570108052,10195868,,,0.4453631224108368,Advisory
172113,3134.0,18622.80589,EGY,Egypt,Asyut,3.470353853,0.0,0.55,0.63,3134.0,3134.0,1.0,8.0,100.0,3.0,-9999.0,3.0,3.0,10.0,0.3,-999.9,-1967.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1967.2,15.015054853084251,,,,,,,,,,,69.40707706,0.0,,,,,,,,,,,,,,,,117.421875,0.6305272989888225,228.796875,1.2285843298860053,1.761328125,0.945790948483234,8.007890625,4.300045154601019,15.015054853084251,9423649,,,0.2383205298484257,Information
173000,3493.0,20982.76472,EGY,Egypt,Ash Sharqiyah,4.035599734,0.044428853,0.55,0.63,3493.0,,,,,,,,,,,,,,,,,,,,,,,,,49.476443273828494,,,,,,,,,,3.0,80.71199468,0.8885770599999999,53.438,0.255,49.0,0.234,34.375,0.164,21.25,0.101,0.49,0.234,0.515625,0.246,0.53125,0.2525,2.269375,104.625,0.4986235199130586,912.515625,4.348881748273975,1.569375,0.7479352798695879,31.938046875,15.221086118958912,49.476443273828494,31237808,226689.0,0.73,0.8269070708920097,Warning
211012,3575.0,6278.319166,EGY,Egypt,Al Isma`iliyah,4.027328926,0.0,0.55,0.63,3575.0,,,,,,,,,,,,,,,,,,,,,,,,,23.04700496282221,,,,,,,,,,,80.54657852,0.0,2.938,0.047,2.438,0.039,1.188,0.019,0.375,0.006,0.02438,0.039,0.01782,0.0284999999999999,0.009375,0.015,0.134075,9.84375,0.1567895760002459,249.75,3.9779755282348126,0.14765625,0.2351843640003688,8.74125,13.922914348821845,23.04700496282221,1336033,,,0.5673033703719587,Advisory
211013,3576.0,7778.241552,EGY,Egypt,Shamal Sina'',4.053340871,0.0,0.55,0.63,3576.0,,,,,,,,,,,,,,,,,,,,,,,,,19.169357060261994,,,,,,,,,,,81.06681741999999,0.0,17.938,0.231,17.875,0.23,6.0,0.077,4.625,0.059,0.17875,0.23,0.09,0.1154999999999999,0.115625,0.1475,0.8773749999999999,22.640625,0.2910763936455702,229.921875,2.9559621342267537,0.339609375,0.4366145904683552,8.047265625,10.34586746979364,19.169357060261994,254526,,,0.5049455380120401,Advisory
211015,3578.0,1959.617794,EGY,Egypt,Shamal Sina'',4.017249084,0.0,0.55,0.63,3578.0,,,,,,,,,,,,,,,,,,,,,,,,,1.334562308495296,,,,,,,,,,,80.34498168,0.0,2.188,0.112,2.188,0.112,0.375,0.019,0.25,0.013,0.02188,0.112,0.005625,0.0284999999999999,0.00625,0.0325,0.206755,1.125,0.0574091541348062,5.765625,0.2942219149408819,0.016875,0.0861137312022093,0.201796875,1.0297767022930866,1.334562308495296,1061314,,,0.0035754998880929,Information
295102,5418.0,16249.09606,EGY,Egypt,Ash Sharqiyah,2.771085374,0.0,0.55,0.63,5418.0,,,,,,,,,,,,,,,,,,,,,,,,,18.7731863043018,,,,,,,,,,,55.42170748,0.0,23.625,0.145,23.312,0.143,14.5,0.089,12.25,0.075,0.23312,0.143,0.2175,0.1335,0.30625,0.1875,1.22087,187.734375,1.1553527306683091,251.578125,1.5482592023712398,2.816015625,1.7330290960024637,8.805234375,5.41890720829934,18.7731863043018,909316,,,0.193569500230606,Information
295105,5421.0,12364.99549,EGY,Egypt,Ash Sharqiyah,3.467266255,0.799726958,0.55,0.63,5421.0,,,,,,,,,,,,,,,,,,,,,,,,,42.64233188106049,,,,,,,,,,3.0,69.3453251,15.99453916,79.375,0.642,70.438,0.57,16.75,0.135,10.312,0.083,0.70438,0.57,0.25125,0.2025,0.2578,0.2075,2.19343,383.90625,3.1047827749952366,509.0625,4.116964705305039,5.75859375,4.657174162492855,17.8171875,14.409376468567636,42.64233188106049,3236961,386778.0,11.95,0.6293235518906333,Watch
295106,5422.0,4896.160077,EGY,Egypt,Ash Sharqiyah,0.473630781,0.0,0.55,0.63,5422.0,,,,,,,,,,,,,,,,,,,,,,,,,16.540289530892004,,,,,,,,,,,9.47261562,0.0,24.938,0.509,24.938,0.509,25.188,0.514,21.5,0.439,0.24938,0.509,0.37782,0.771,0.5375,1.0975,3.5422,77.625,1.5854261047729918,122.0625,2.493025106780719,1.164375,2.378139157159488,4.2721875,8.725587873732517,16.540289530892004,139658,,,0.0445792708449396,Information
295107,5423.0,18003.4226,EGY,Egypt,Ash Sharqiyah,0.865835589,1.065961788,0.55,0.63,5423.0,,,,,,,,,,,,,,,,,,,,,,,,,25.89714782375209,,,,,,,,,,,17.31671178,21.31923576,57.875,0.321,49.0,0.272,23.375,0.13,12.0,0.067,0.49,0.272,0.350625,0.195,0.3,0.1675,1.775125,225.984375,1.2552300751420762,378.84375,2.1042873817254217,3.389765625,1.8828451127131145,13.25953125,7.365005836038976,25.89714782375209,6449082,,,0.1332269635218448,Information
