pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,FID_x,FID_y,Alert_level,Days_until_peak,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_Score,PeakArrivalScore,TwoYScore,FiveYScore,TwtyYScore,Sum_Score_x,GFMS_TotalArea_km,GFMS_perc_Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration,GFMS_area_score,GFMS_perc_area_score,MeanD_Score,MaxD_Score,Duration_Score,Sum_Score_y,MOM_Score,Hazard_Score,Scaled_Riverine_Risk,Scaled_Coastal_Risk,Flag,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area,DFO_area_1day_score,DFO_percarea_1day_score,DFO_area_2day_score,DFO_percarea_2day_score,DFO_area_3day_score,DFO_percarea_3day_score,DFOTotal_Score,onedayFlood_Area_km,onedayperc_Area,fivedayFlood_Area_km,fivedayperc_Area,VIIRS_area_1day_score,VIIRS_percarea_1day_score,VIIRS_area_5day_score,VIIRS_percarea_5day_score,VIIRSTotal_Score,Totalpop,VIIRS_impactpop,VIIRS_impactpop_percent,Severity,Alert
111015,4.0,16672.32333,EGY,Egypt,Al Bahr al Ahmar,4.159506062,1.332958752,0.55,0.63,4.0,,,,,,,,,,,,,,,,,,,,,,,,,8.859372662826178,83.19012124,26.65917504,,16.5,0.099,11.938,0.072,0.25,0.001,0.125,0.001,0.11938,0.072,0.00375,0.0015,0.003125,0.0025,0.202255,12.515625,0.0750682718363458,152.859375,0.9168450728776172,0.187734375,0.1126024077545187,5.350078125,3.20895775507166,8.859372662826178,292552,,,0.2609267911935926,Information
156096,2631.0,2142.071566,EGY,Egypt,Matrouh,1.870956982,0.0,0.55,0.63,2631.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3472499999999999,37.41913964,0.0,,6.312,0.295,6.125,0.286,0.0,0.0,0.0,0.0,0.06125,0.286,0.0,0.0,0.0,0.0,0.3472499999999999,,,,,,,,,,2981,,,1.028177066954016e-07,Information
158650,2805.0,28654.40401,EGY,Egypt,Matrouh,0.010599425,0.0,0.55,0.63,2805.0,,,,,,,,,,,,,,,,,,,,,,,,,4.763397778724349,0.2119885,0.0,,9.062,0.032,9.0,0.031,0.0,0.0,0.625,0.002,0.09,0.031,0.0,0.0,0.015625,0.005,0.141625,45.421875,0.1585162091907466,81.421875,0.2841513471252084,0.681328125,0.2377743137861199,2.849765625,0.9945297149382294,4.763397778724349,28546,,,0.0011747206014588,Information
158670,2807.0,14356.97351,EGY,Egypt,Matrouh,1.202441142,0.0,0.55,0.63,2807.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7586650546557698,24.04882284,0.0,,18.75,0.131,18.25,0.127,0.0,0.0,0.0,0.0,0.1825,0.127,0.0,0.0,0.0,0.0,0.3095,1.265625,0.0088154024902576,12.234375,0.0852155574058238,0.018984375,0.0132231037353864,0.428203125,0.2982544509203833,0.7586650546557698,0,,,2.0496262079408005e-06,Information
158680,2808.0,17999.95227,EGY,Egypt,Matrouh,0.220953716,0.0,0.55,0.63,2808.0,,,,,,,,,,,,,,,,,,,,,,,,,0.29662,4.41907432,0.0,,24.188,0.134,19.062,0.106,0.0,0.0,0.0,0.0,0.19062,0.106,0.0,0.0,0.0,0.0,0.29662,0.0,0.0,3.234375,0.0179687976470621,0.0,0.0,0.113203125,0.0628907917647173,0.1760939167647173,3238,,,3.8413363372627114e-09,Information
158901,2827.0,12179.75113,EGY,Egypt,Matrouh,0.270966278,0.0,0.55,0.63,2827.0,,,,,,,,,,,,,,,,,,,,,,,,,0.4083799999999999,5.41932556,0.0,,24.312,0.2,22.438,0.184,0.0,0.0,0.0,0.0,0.22438,0.184,0.0,0.0,0.0,0.0,0.4083799999999999,,,,,,,,,,0,,,2.590118911375904e-08,Information
171000,3130.0,16410.89801,EGY,Egypt,Al Buhayrah,4.000368882,3.233220159,0.55,0.63,3130.0,,,,,,,,,,,,,,,,,,,,,,,,,14.457002781623686,80.00737764,64.66440318,,20.312,0.124,20.312,0.124,0.5,0.003,1.188,0.007,0.20312,0.124,0.0075,0.0045,0.0296999999999999,0.0175,0.38632,15.46875,0.094259010015436,250.03125,1.523568361885866,0.23203125,0.141388515023154,8.75109375,5.332489266600531,14.457002781623686,10195868,,,0.3728992141320104,Advisory
172113,3134.0,18622.80589,EGY,Egypt,Asyut,3.470353853,0.0,0.55,0.63,3134.0,3134.0,2.0,4.0,100.0,100.0,-9999.0,7.0,7.0,10.0,10.0,-999.9,-1931.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1931.8,5.519064713883783,69.40707706,0.0,,,,,,,,,,,,,,,,,0.84375,0.0045307350825544,102.234375,0.5489740675028432,0.01265625,0.0067961026238316,3.578203125,1.921409236259951,5.519064713883783,9423649,,,0.0433967315035758,Information
295105,5421.0,12364.99549,EGY,Egypt,Ash Sharqiyah,3.467266255,0.799726958,0.55,0.63,5421.0,,,,,,,,,,,,,,,,,,,,,,,,,48.893064395090086,69.3453251,15.99453916,3.0,16.438,0.133,13.188,0.107,0.438,0.004,0.688,0.006,0.13188,0.107,0.00657,0.006,0.0171999999999999,0.015,0.2836499999999999,331.453125,2.6805761907193304,630.28125,5.097302709717455,4.971796875,4.020864286078996,22.05984375,17.84055948401109,48.893064395090086,3236961,384276.0,11.87,0.6796965351422484,Watch
295106,5422.0,4896.160077,EGY,Egypt,Ash Sharqiyah,0.473630781,0.0,0.55,0.63,5422.0,,,,,,,,,,,,,,,,,,,,,,,,,15.904947317923185,9.47261562,0.0,,27.25,0.557,25.938,0.53,15.75,0.322,21.125,0.431,0.25938,0.53,0.23625,0.483,0.528125,1.0775,3.114255,82.40625,1.6830791619510386,114.046875,2.3293126285704644,1.23609375,2.524618742926558,3.991640625,8.152594199996626,15.904947317923185,139658,,,0.0410154306276789,Information
295107,5423.0,18003.4226,EGY,Egypt,Ash Sharqiyah,0.865835589,1.065961788,0.55,0.63,5423.0,,,,,,,,,,,,,,,,,,,,,,,,,24.87237365631024,17.31671178,21.31923576,,15.812,0.088,14.75,0.082,1.438,0.008,3.438,0.019,0.1475,0.082,0.02157,0.012,0.08595,0.0475,0.39652,194.203125,1.078701141114628,373.640625,2.0753866270395123,2.913046875,1.6180517116719415,13.077421875,7.263853194638293,24.87237365631024,6449082,,,0.1247343107979992,Information
111030,10.0,5536.333886,SDN,Sudan,Red Sea,4.025144707,4.001214603,0.28,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,5.682655122544451,80.50289414,80.02429206000001,,2.125,0.038,2.125,0.038,1.562,0.028,0.0,0.0,0.02125,0.038,0.02343,0.042,0.0,0.0,0.12468,8.015625,0.1447821819340511,54.421875,0.9829948141838212,0.120234375,0.2171732729010766,1.904765625,3.440481849643374,5.682655122544451,1295,,,0.1088163398710911,Information
111050,20.0,16232.23619,SDN,Sudan,Red Sea,4.193406948,3.139393724,0.28,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,10.91748225848164,83.86813896,62.78787448,,7.062,0.044,6.062,0.037,2.938,0.018,0.375,0.002,0.06062,0.037,0.04407,0.0269999999999999,0.009375,0.005,0.1830649999999999,53.015625,0.326607032982427,170.296875,1.0491276311451434,0.795234375,0.4899105494736405,5.960390625,3.671946709008002,10.91748225848164,102610,,,0.3481089779546812,Information
111070,22.0,11245.65671,SDN,Sudan,Red Sea,4.348485206,0.088554359,0.28,1.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,21.28308625328136,86.96970412,1.77108718,3.0,58.625,0.521,45.062,0.401,7.438,0.066,5.812,0.052,0.4506199999999999,0.401,0.11157,0.099,0.1453,0.13,1.3374899999999998,192.234375,1.709409952188942,239.484375,2.1295721642851264,2.883515625,2.5641149282834133,8.381953125,7.453502574997943,21.28308625328136,1032799,7730.0,0.75,0.6881578938063893,Watch
111091,33.0,173.0360206,SDN,Sudan,Red Sea,3.554465127,0.0,0.28,1.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,15.005595257280584,71.08930253999999,0.0,,0.312,0.181,0.312,0.181,0.0,0.0,0.0,0.0,0.00312,0.181,0.0,0.0,0.0,0.0,0.18412,4.21875,2.438076178889353,5.484375,3.1694990325561583,0.06328125,3.657114268334029,0.191953125,11.093246613946556,15.005595257280584,0,,,0.2559800979966243,Information
172139,3159.0,19327.56952,SDN,Sudan,Northern,4.162059566,0.0,0.28,1.0,3159.0,3159.0,0.0,1.0,-9999.0,-9999.0,-9999.0,0.0,10.0,-999.9,-999.9,-999.9,-5979.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5979.4,5.365534655189242,83.24119132,0.0,,,,,,,,,,,,,,,,,0.140625,0.0007275876039726,100.96875,0.5224078996523664,0.002109375,0.0010913814059589,3.53390625,1.828427648783283,5.365534655189242,400001,,,0.1273665962863176,Information
172160,3170.0,29610.63529,SDN,Sudan,North Kurdufan,4.005885111,0.0,0.28,1.0,3170.0,,,,,,,,,,,,,,,,,,,,,,,,,2.042003329608691,80.11770222000001,0.0,,22.188,0.075,17.625,0.06,0.0,0.0,1.125,0.004,0.17625,0.06,0.0,0.0,0.028125,0.01,0.274375,22.359375,0.075511297819237,34.03125,0.1149291451085243,0.335390625,0.1132669467288555,1.19109375,0.402252007879835,2.042003329608691,587835,,,0.0114260448431926,Information
172168,3178.0,7303.204645,SDN,Sudan,North Kurdufan,1.85264569,0.0,0.28,1.0,3178.0,,,,,,,,,,,,,,,,,,,,,,,,,0.19875,37.0529138,0.0,,11.188,0.153,8.375,0.115,0.0,0.0,0.0,0.0,0.08375,0.115,0.0,0.0,0.0,0.0,0.19875,,,,,,,,,,124382,,,4.2557674248656014e-09,Information
172169,3179.0,4533.320106,SDN,Sudan,North Kurdufan,2.505595067,0.0,0.28,1.0,3179.0,,,,,,,,,,,,,,,,,,,,,,,,,0.10775,50.11190134,0.0,,11.125,0.245,3.375,0.074,0.0,0.0,0.0,0.0,0.03375,0.074,0.0,0.0,0.0,0.0,0.10775,,,,,,,,,,44053,,,4.185606247768864e-10,Information
172193,3192.0,35821.36512,SDN,Sudan,River Nile,4.098831315,0.0,0.28,1.0,3192.0,3192.0,0.0,1.0,-9999.0,-9999.0,-9999.0,0.0,10.0,-999.9,-999.9,-999.9,-5979.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5979.4,31.0845604811447,81.97662629999999,0.0,3.0,,,,,,,,,,,,,,,,296.71875,0.8283289847785255,567.140625,1.5832468225648308,4.45078125,1.2424934771677882,19.849921875,5.541363878976908,31.0845604811447,210468,25418.0,12.08,0.7071376132991536,Watch
172199,3198.0,3996.836505,SDN,Sudan,River Nile,4.043856567,0.0,0.28,1.0,3198.0,,,,,,,,,,,,,,,,,,,,,,,,,6.872359703872607,80.87713133999999,0.0,,3.812,0.095,3.812,0.095,0.875,0.022,0.062,0.002,0.03812,0.095,0.013125,0.033,0.00155,0.005,0.185795,22.21875,0.5559084034123052,46.546875,1.164592921072614,0.33328125,0.8338626051184578,1.629140625,4.076075223754149,6.872359703872607,223329,,,0.1530647193792837,Information
172250,3211.0,20434.64385,SDN,Sudan,Kassala,2.064343345,0.0,0.28,1.0,3211.0,3211.0,0.0,1.0,-9999.0,-9999.0,-9999.0,0.0,10.0,-999.9,-999.9,-999.9,-5979.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5979.4,10.498278077155144,41.28686690000001,0.0,,,,,,,,,,,,,,,,,43.03125,0.210579887353511,182.953125,0.8953086060356792,0.64546875,0.3158698310302665,6.403359375,3.133580121124877,10.498278077155144,683240,,,0.0425844009813116,Information
172263,3214.0,1759.036067,SDN,Sudan,Al Qadarif,0.764434133,0.0,0.28,1.0,3214.0,3214.0,0.0,1.0,-9999.0,-9999.0,-9999.0,0.0,10.0,-999.9,-999.9,-999.9,-5979.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5979.4,7.90038,15.28868266,0.0,,28.5,1.62,18.5,1.052,27.812,1.581,23.188,1.318,0.185,1.052,0.41718,2.3715,0.5797,3.295,7.90038,0.140625,0.0079944352850832,6.46875,0.3677440231138272,0.002109375,0.0119916529276247,0.22640625,1.2871040808983951,1.5276113588260198,44353,,,0.0088379479105342,Information
