pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,FID_x,FID_y,Alert_level,Days_until_peak,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_Score,PeakArrivalScore,TwoYScore,FiveYScore,TwtyYScore,Sum_Score_x,GFMS_TotalArea_km,GFMS_perc_Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration,GFMS_area_score,GFMS_perc_area_score,MeanD_Score,MaxD_Score,Duration_Score,Sum_Score_y,MOM_Score,Hazard_Score,Rain_TotalArea_km,perc_Area,MeanRain,MaxRain,HWRF_area_score,HWRF_percarea_score,MeanRain_Score,MaxRain_Score,HWRFTot_Score,Flag,Scaled_Riverine_Risk,Scaled_Coastal_Risk,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area,DFO_area_1day_score,DFO_percarea_1day_score,DFO_area_2day_score,DFO_percarea_2day_score,DFO_area_3day_score,DFO_percarea_3day_score,DFOTotal_Score,onedayFlood_Area_km,onedayperc_Area,fivedayFlood_Area_km,fivedayperc_Area,VIIRS_area_1day_score,VIIRS_percarea_1day_score,VIIRS_area_5day_score,VIIRS_percarea_5day_score,VIIRSTotal_Score,Totalpop,VIIRS_impactpop,VIIRS_impactpop_percent,Severity,Alert
111015,4.0,16672.32333,EGY,Egypt,Al Bahr al Ahmar,4.159506062,1.332958752,0.55,0.63,4.0,,,,,,,,,,,,,,,,,,,,,,,,,7.9234917517709,,,,,,,,,,,83.19012124,26.65917504,9.688,0.058,8.438,0.051,0.875,0.005,0.125,0.001,0.08438,0.051,0.013125,0.0075,0.003125,0.0025,0.16163,41.765625,0.2505087273639855,123.609375,0.7414046173499775,0.626484375,0.3757630910459782,4.326328125,2.5949161607249214,7.9234917517709,292552,,,0.2259850145005172,Information
171000,3130.0,16410.89801,EGY,Egypt,Al Buhayrah,4.000368882,3.233220159,0.55,0.63,3130.0,,,,,,,,,,,,,,,,,,,,,,,,,9.198573545070362,,,,,,,,,,,80.00737764,64.66440318,42.688,0.26,42.375,0.258,15.562,0.095,0.625,0.004,0.42375,0.258,0.23343,0.1425,0.015625,0.01,1.0833050000000002,84.09375,0.5124262544475523,127.265625,0.7754945823997238,1.26140625,0.7686393816713284,4.454296875,2.714231038399033,9.198573545070362,10195868,,,0.2187815385092413,Information
172111,3132.0,25391.76841,EGY,Egypt,Bani Suwayf,3.367829483,0.004255481,0.55,0.63,3132.0,,,,,,,,,,,,,,,,,,,,,,,,,2.235461219258152,,,,,,,,,,,67.35658966,0.08510962,12.75,0.05,12.75,0.05,0.75,0.003,0.0,0.0,0.1275,0.05,0.01125,0.0045,0.0,0.0,0.19325,21.9375,0.0863961093417551,36.421875,0.1434396943558626,0.3290625,0.1295941640126326,1.274765625,0.502038930245519,2.235461219258152,28310172,,,0.0036679828790279,Information
172113,3134.0,18622.80589,EGY,Egypt,Asyut,3.470353853,0.0,0.55,0.63,3134.0,3134.0,1.0,6.0,96.0,-9999.0,-9999.0,3.0,5.0,9.6,-999.9,-999.9,-2950.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2950.1,2.982694068987515,,,,,,,,,,,69.40707706,0.0,31.688,0.17,31.312,0.168,2.438,0.013,0.125,0.001,0.31312,0.168,0.03657,0.0195,0.003125,0.0025,0.5428149999999999,16.171875,0.0868390890822929,48.515625,0.2605172672468788,0.242578125,0.1302586336234393,1.698046875,0.9118104353640758,2.982694068987515,9423649,,,0.0099575981063543,Information
172115,3136.0,12900.15886,EGY,Egypt,Suhaj,3.693633873,0.0,0.55,0.63,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0205869543279382,,,,,,,,,,,73.87267746,0.0,13.125,0.102,13.125,0.102,1.25,0.01,0.0,0.0,0.13125,0.102,0.01875,0.015,0.0,0.0,0.267,8.4375,0.0654061712889886,45.0,0.3488329135412729,0.1265625,0.0981092569334829,1.575,1.2209151973944552,3.0205869543279382,3262549,,,0.0154821790247224,Information
172117,3138.0,37158.6911,EGY,Egypt,Aswan,4.012574421,0.0,0.55,0.63,3138.0,,,,,,,,,,,,,,,,,,,,,,,,,4.186000806274953,,,,,,,,,,,80.25148842,0.0,5.688,0.015,5.375,0.014,1.312,0.004,0.375,0.001,0.05375,0.014,0.01968,0.006,0.009375,0.0025,0.105305,10.546875,0.028383332912224,89.71875,0.2414475519733191,0.158203125,0.0425749993683359,3.14015625,0.8450664319066169,4.186000806274953,5190727,,,0.0604110339757529,Information
173000,3493.0,20982.76472,EGY,Egypt,Ash Sharqiyah,4.035599734,0.044428853,0.55,0.63,3493.0,,,,,,,,,,,,,,,,,,,,,,,,,32.82544763379783,,,,,,,,,,3.0,80.71199468,0.8885770599999999,151.0,0.72,140.938,0.672,20.188,0.096,2.938,0.014,1.40938,0.672,0.30282,0.144,0.07345,0.035,2.63665,204.328125,0.973790288217304,547.59375,2.6097311647062504,3.064921875,1.460685432325956,19.16578125,9.134059076471877,32.82544763379783,31237808,67163.0,0.22,0.7025402528903629,Watch
211012,3575.0,6278.319166,EGY,Egypt,Al Isma`iliyah,4.027328926,0.0,0.55,0.63,3575.0,,,,,,,,,,,,,,,,,,,,,,,,,7.417992658892864,,,,,,,,,,,80.54657852,0.0,7.75,0.123,7.5,0.119,1.125,0.018,0.0,0.0,0.075,0.119,0.016875,0.0269999999999999,0.0,0.0,0.237875,32.90625,0.5241251540579651,67.640625,1.0773683722302616,0.49359375,0.7861877310869476,2.367421875,3.770789302805916,7.417992658892864,1336033,,,0.1674942677363331,Information
211013,3576.0,7778.241552,EGY,Egypt,Shamal Sina'',4.053340871,0.0,0.55,0.63,3576.0,,,,,,,,,,,,,,,,,,,,,,,,,15.518050953545426,,,,,,,,,,,81.06681741999999,0.0,5.125,0.066,5.125,0.066,0.688,0.009,0.0,0.0,0.05125,0.066,0.01032,0.0134999999999999,0.0,0.0,0.1410699999999999,104.484375,1.3432904377556445,149.203125,1.9182115134034168,1.567265625,2.014935656633466,5.222109375,6.713740296911959,15.518050953545426,254526,,,0.421165732268253,Advisory
295102,5418.0,16249.09606,EGY,Egypt,Ash Sharqiyah,2.771085374,0.0,0.55,0.63,5418.0,,,,,,,,,,,,,,,,,,,,,,,,,7.369338863886139,,,,,,,,,,,55.42170748,0.0,86.75,0.534,76.875,0.473,10.812,0.067,2.688,0.017,0.76875,0.473,0.16218,0.1005,0.0672,0.0425,1.61413,146.953125,0.9043772311223844,67.359375,0.4145422906293035,2.204296875,1.3565658466835766,2.357578125,1.450898017202562,7.369338863886139,909316,,,0.0359367121763451,Information
